Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Infosys Ltd.,Computers  software,76.64,1312.6,29.21%,1.00%,9.43% (May 2018),9.43% (May 2018),17.47 L,0.00,Large Cap,76.86
Tata Consultancy Services Ltd.,Computers  software,76.64,854.4,19.02%,3.43%,11.96% (Oct 2018),11.96% (Oct 2018),3.78 L,43.00 k,Large Cap,76.86
Tech Mahindra Ltd.,Software telecom,9.63,432.9,9.63%,0.30%,6.24% (Aug 2018),6.24% (Aug 2018),5.18 L,0.00,Large Cap,76.86
Wipro Ltd.,Computers  software,76.64,258.7,5.76%,0.63%,4.22% (Sep 2018),0% (May 2018),8.67 L,0.00,Large Cap,76.86
Larsen & Toubro Infotech Ltd.,Computers  software,76.64,257.5,5.73%,0.21%,1.43% (Oct 2018),0% (May 2018),1.50 L,0.00,Large Cap,76.86
Persistent Systems Ltd.,Computers  software,76.64,223.5,4.97%,0.17%,2.93% (Oct 2018),2.93% (Oct 2018),3.51 L,0.00,Small Cap,13.81
NIIT Techonologies Ltd.,Computers  software,76.64,219.9,4.89%,0.35%,3.14% (Sep 2018),3.14% (Sep 2018),1.70 L,0.00,Small Cap,13.81
HCL Technologies Limited,Computers  software,76.64,177.5,3.95%,0.16%,1.96% (Jun 2018),1.96% (Jun 2018),1.50 L,0.00,Large Cap,76.86
Oracle Financial Services Software Limited,It enabled services – software,8.02,159.8,3.56%,0.02%,2.6% (May 2018),2.6% (May 2018),45.40 k,0.00,Large Cap,76.86
Cyient Ltd.,It enabled services – software,8.02,126.5,2.81%,1.48%,2.81% (Apr 2019),2.81% (Apr 2019),2.15 L,0.70 L,Small Cap,13.81
Mindtree Ltd.,Computers  software,76.64,88.3,1.97%,0.01%,0.97% (Feb 2019),0% (May 2018),90.00 k,0.00,Mid Cap,3.62
L&T Technology Services Ltd.,It enabled services – software,8.02,74.2,1.65%,0.09%,1.56% (Feb 2019),1.56% (Feb 2019),42.70 k,0.00,Mid Cap,3.62
Tata Elxsi Ltd.,Computers  software,76.64,51.2,1.14%,0.09%,1.14% (Apr 2019),1.14% (Apr 2019),55.00 k,0.00,Small Cap,13.81
KPIT Engineering Ltd.,Auto ancillaries,0.39,17.5,0.39%,0.02%,0.39% (Apr 2019),0% (May 2018),2.00 L,0.00,Other,0.39
